alert_encoded,mmi,cdi,magnitude,sig,depth
0,0.060150674830748964,0.4633225474142467,-0.14368924541349182,0.16688224990952688,-0.35251925665601636
0,-2.140312847132971,-1.3190147253339737,-0.3800350969579451,-0.3624210477833159,-0.24860617686170186
0,-2.8738006877875444,-1.7645990435210288,-0.14368924541349182,-0.041631170393714244,4.9848343873246845
0,-1.4068250064783976,-0.8734304071469187,0.5653483092198701,1.2094493514257323,-0.13524645344972236
0,-3.6072885284421177,-3.1013519980821944,-1.0890726515913092,-1.4049881492995215,5.409933350119608
0,-2.8738006877875444,-1.3190147253339737,-0.14368924541349182,-0.041631170393714244,5.750012520355546
0,-2.8738006877875444,-2.6557676798951393,-0.6163809485024004,-0.7473689006508379,5.466613211825598
0,-0.6733371658238243,0.017738229227191607,-0.8527268000468538,0.6320275721244494,-0.29583939495002665
3,0.060150674830748964,0.4633225474142467,-0.6163809485024004,-1.4531066309079619,-0.29583939495002665
3,0.7936385154853223,0.9089068656013018,1.274385863853232,0.2791587069958875,-0.23915953324403688
3,1.5271263561398956,0.9089068656013018,-0.3800350969579451,2.075582020377657,-0.3903058311266762
0,0.060150674830748964,0.017738229227191607,-1.3254185031357624,-0.02559167652423416,-0.3903058311266762
0,-1.4068250064783976,0.017738229227191607,-0.14368924541349182,0.05460579282316627,0.8094179083167734
3,0.7936385154853223,0.4633225474142467,1.274385863853232,-0.7794478883897982,0.6110383923458093
1,0.7936385154853223,0.9089068656013018,-1.0890726515913092,0.4716326334296485,-0.3714125438913463
0,-0.6733371658238243,0.017738229227191607,-1.0890726515913092,-1.3729091615605615,-0.20137295877337708
3,0.7936385154853223,0.9089068656013018,-0.14368924541349182,1.305686314642613,-0.1730330279203822
0,-3.6072885284421177,-1.7645990435210288,-1.3254185031357624,-1.677659545080683,5.391040062884278
0,-1.4068250064783976,0.017738229227191607,0.3290024576754168,1.8991475878133761,1.7446356264656042
0,-1.4068250064783976,-2.210183361708084,-0.3800350969579451,-0.3945000355222761,-0.3903058311266762
0,-1.4068250064783976,-0.42784608895986354,-0.6163809485024004,0.07064528669264636,1.5934893285829648
0,-1.4068250064783976,-0.42784608895986354,-1.0890726515913092,0.07064528669264636,-0.22971288962637193
0,-2.140312847132971,-0.42784608895986354,-0.14368924541349182,0.08668478056212645,-0.3903058311266762
