magnitude,depth,cdi,mmi,sig,alert
7.3,16.0,3.0,7.0,54.0,green
7.1,133.0,0.0,5.0,8.0,green
6.6,10.0,0.0,4.0,-98.0,green
7.5,10.0,3.0,6.0,103.0,green
7.1,46.0,8.0,8.0,-2.0,orange
6.8,540.0,0.0,3.0,-57.0,green
6.7,10.0,3.0,4.0,-75.0,green
6.8,14.0,8.0,7.0,-70.0,yellow
6.5,10.0,2.0,4.0,-113.0,green
6.8,10.0,4.0,4.0,8.0,green
6.5,10.0,3.0,4.0,-99.0,green
6.5,17.0,0.0,4.0,-118.0,green
6.7,461.0,0.0,3.0,-77.0,green
6.5,20.0,0.0,4.0,-118.0,green
7.0,39.0,6.0,6.0,-10.0,green
6.7,550.0,2.0,3.0,-77.0,green
7.5,20.0,8.0,8.0,-22.0,red
6.5,576.0,4.0,1.0,-117.0,green
6.9,115.0,3.0,4.0,-33.0,green
6.5,68.0,3.0,6.0,-117.0,green
7.9,670.0,7.0,4.0,-45.0,green
6.6,35.0,8.0,9.0,51.0,orange
7.1,21.0,2.0,5.0,8.0,green
7.1,630.0,0.0,3.0,8.0,green
6.5,9.0,6.0,7.0,-116.0,green
7.3,146.0,8.0,6.0,34.0,yellow
6.9,21.0,7.0,7.0,-74.0,green
8.2,600.0,5.0,4.0,26.0,green
6.5,529.0,5.0,3.0,-25.0,green
6.5,33.0,6.0,6.0,-113.0,green
6.9,34.0,9.0,8.0,-88.0,orange
6.9,5.0,7.0,8.0,112.0,yellow
6.8,559.0,5.0,3.0,-35.0,green
6.9,35.0,9.0,6.0,-27.0,green
6.7,40.0,5.0,6.0,-72.0,green
6.8,22.0,6.0,6.0,-49.0,green
6.7,20.0,8.0,7.0,-71.0,green
7.5,25.0,9.0,8.0,-81.0,yellow
7.2,22.0,7.0,7.0,104.0,yellow
7.9,14.0,9.0,4.0,78.0,green
7.1,39.0,9.0,7.0,51.0,green
7.5,19.0,8.0,5.0,87.0,green
6.5,90.0,8.0,7.0,-26.0,green
6.5,17.0,1.0,5.0,-117.0,green
7.0,10.0,4.0,6.0,3.0,green
6.6,13.0,4.0,5.0,-92.0,green
6.5,19.0,8.0,8.0,-127.0,yellow
7.3,19.0,8.0,9.0,-26.0,red
6.5,110.0,6.0,5.0,-107.0,green
6.8,10.0,5.0,5.0,-41.0,green
6.6,22.0,3.0,5.0,-94.0,green
6.7,24.0,3.0,4.0,-77.0,green
6.7,553.0,3.0,3.0,-74.0,green
6.5,119.0,3.0,5.0,-117.0,green
8.2,47.0,9.0,7.0,94.0,red
6.5,9.0,5.0,7.0,-61.0,yellow
6.6,7.0,7.0,7.0,40.0,yellow
7.7,10.0,8.0,7.0,-106.0,green
6.6,10.0,5.0,4.0,-64.0,green
6.5,9.0,9.0,8.0,-28.0,yellow
6.8,38.0,6.0,6.0,10.0,yellow
6.9,93.0,8.0,6.0,-92.0,yellow
6.8,5.0,0.0,4.0,-57.0,green
6.6,12.0,7.0,7.0,-90.0,green
6.5,15.0,0.0,4.0,-118.0,green
6.8,169.0,6.0,5.0,-55.0,green
6.9,26.0,9.0,6.0,46.0,green
6.9,28.0,9.0,7.0,106.0,yellow
6.5,29.0,7.0,8.0,17.0,green
6.6,17.0,6.0,7.0,-97.0,yellow
6.9,414.0,2.0,3.0,-35.0,green
6.5,595.0,3.0,3.0,-115.0,green
6.5,15.0,8.0,7.0,-50.0,yellow
7.9,135.0,9.0,7.0,-37.0,yellow
6.5,36.0,6.0,6.0,-114.0,green
7.3,627.0,6.0,3.0,81.0,green
6.9,12.0,6.0,4.0,-26.0,green
7.6,38.0,9.0,8.0,-128.0,yellow
6.7,152.0,5.0,5.0,-42.0,green
7.9,94.0,9.0,7.0,-52.0,yellow
6.9,19.0,8.0,6.0,-31.0,green
6.5,12.0,0.0,5.0,-118.0,green
7.8,40.0,9.0,8.0,-63.0,green
6.6,8.0,5.0,4.0,96.0,green
6.5,13.0,9.0,8.0,-37.0,yellow
6.6,17.0,8.0,7.0,-75.0,green
6.9,10.0,5.0,4.0,87.0,green
6.9,9.0,9.0,6.0,120.0,green
6.5,9.0,7.0,7.0,-104.0,yellow
6.5,10.0,6.0,7.0,-112.0,yellow
7.8,15.0,9.0,9.0,9.0,orange
6.6,8.0,9.0,8.0,24.0,red
6.6,614.0,3.0,3.0,-91.0,green
6.8,42.0,3.0,6.0,-52.0,green
6.9,596.0,2.0,3.0,-35.0,green
7.0,19.0,5.0,6.0,-127.0,green
6.8,476.0,4.0,3.0,-55.0,green
6.8,82.0,6.0,6.0,-43.0,yellow
7.2,16.0,6.0,5.0,31.0,green
7.7,196.0,5.0,6.0,-53.0,green
6.6,50.0,4.0,6.0,-97.0,green
7.2,78.0,1.0,6.0,30.0,green
6.9,405.0,3.0,3.0,-35.0,green
6.9,29.0,8.0,7.0,12.0,green
6.7,16.0,5.0,7.0,-24.0,green
7.0,24.0,7.0,7.0,-13.0,green
7.8,20.0,9.0,9.0,-117.0,orange
7.0,10.0,9.0,9.0,26.0,red
6.9,136.0,6.0,6.0,-121.0,yellow
6.6,212.0,6.0,4.0,-30.0,green
6.7,27.0,7.0,5.0,-76.0,green
6.7,24.0,7.0,6.0,-77.0,green
6.9,26.0,7.0,6.0,-34.0,green
7.8,24.0,4.0,3.0,-76.0,green
7.2,177.0,3.0,7.0,31.0,green
7.1,125.0,7.0,7.0,-40.0,green
6.6,10.0,3.0,4.0,-95.0,green
6.7,46.0,5.0,6.0,-51.0,green
6.5,13.0,3.0,6.0,-117.0,green
6.7,55.0,8.0,7.0,-21.0,orange
6.6,85.0,8.0,6.0,-3.0,green
6.9,21.0,8.0,5.0,-30.0,green
7.2,22.0,4.0,7.0,59.0,green
6.7,602.0,2.0,3.0,-77.0,green
7.6,620.0,5.0,4.0,-128.0,green
7.6,606.0,6.0,5.0,-67.0,green
6.8,12.0,5.0,6.0,-53.0,green
6.5,11.0,7.0,7.0,-6.0,orange
6.7,12.0,5.0,4.0,-66.0,green
6.9,10.0,5.0,6.0,-24.0,green
6.9,12.0,6.0,6.0,-7.0,green
6.6,10.0,7.0,4.0,-93.0,green
6.8,46.0,7.0,7.0,73.0,green
6.5,20.0,5.0,7.0,-111.0,green
7.5,231.0,8.0,7.0,-88.0,orange
7.1,135.0,6.0,6.0,12.0,green
6.6,18.0,7.0,7.0,-97.0,green
6.6,35.0,5.0,7.0,52.0,green
6.7,23.0,5.0,7.0,-50.0,green
6.5,27.0,6.0,7.0,-111.0,green
7.0,28.0,8.0,7.0,31.0,green
8.3,22.0,9.0,8.0,-88.0,orange
6.7,10.0,5.0,5.0,-60.0,green
6.5,6.0,0.0,5.0,-118.0,green
6.6,22.0,3.0,5.0,-97.0,green
7.0,48.0,9.0,7.0,-6.0,green
6.9,29.0,4.0,7.0,-34.0,green
7.0,11.0,8.0,6.0,-9.0,green
6.5,20.0,4.0,4.0,-82.0,green
6.7,12.0,4.0,5.0,-77.0,green
6.5,460.0,3.0,4.0,-116.0,green
7.8,664.0,6.0,3.0,127.0,green
6.8,72.0,5.0,6.0,-6.0,green
6.8,10.0,1.0,5.0,-57.0,green
6.9,11.0,1.0,4.0,-36.0,green
6.8,11.0,1.0,4.0,-57.0,green
6.8,35.0,8.0,6.0,63.0,green
7.3,15.0,8.0,7.0,27.0,orange
7.1,10.0,1.0,6.0,8.0,green
7.5,55.0,7.0,8.0,101.0,green
6.8,44.0,5.0,6.0,-54.0,green
6.7,31.0,5.0,6.0,-76.0,green
6.7,22.0,7.0,7.0,-8.0,yellow
6.6,10.0,8.0,7.0,-35.0,yellow
7.8,8.0,8.0,9.0,4.0,red
6.5,10.0,0.0,5.0,-118.0,green
6.5,11.0,2.0,5.0,-118.0,green
7.5,41.0,6.0,7.0,104.0,green
7.0,552.0,4.0,6.0,-8.0,green
6.7,23.0,5.0,5.0,-54.0,green
6.7,223.0,4.0,6.0,-68.0,green
6.8,219.0,1.0,4.0,-57.0,green
6.5,8.0,1.0,4.0,-118.0,green
6.6,20.0,7.0,6.0,-59.0,green
6.6,23.0,1.0,5.0,-98.0,green
6.6,614.0,1.0,3.0,-98.0,green
6.8,39.0,6.0,5.0,-55.0,green
6.5,35.0,5.0,5.0,-116.0,green
6.7,22.0,7.0,4.0,-70.0,green
7.1,45.0,4.0,6.0,11.0,green
6.6,53.0,2.0,6.0,-97.0,green
7.1,434.0,3.0,6.0,8.0,green
7.3,40.0,8.0,6.0,-42.0,yellow
6.7,130.0,5.0,5.0,-44.0,green
6.8,101.0,6.0,6.0,-27.0,green
6.9,13.0,0.0,4.0,-36.0,green
6.9,615.0,0.0,6.0,-36.0,green
6.5,20.0,5.0,4.0,-62.0,green
6.9,53.0,8.0,7.0,55.0,orange
6.7,18.0,0.0,5.0,-77.0,green
6.9,8.0,0.0,5.0,-36.0,green
7.9,109.0,6.0,8.0,-61.0,green
6.7,26.0,0.0,5.0,-77.0,green
6.9,20.0,0.0,5.0,-36.0,green
6.9,6.0,9.0,7.0,-73.0,green
6.5,10.0,7.0,5.0,-74.0,green
6.6,106.0,0.0,5.0,-98.0,green
6.5,10.0,4.0,6.0,70.0,green
7.5,43.0,0.0,6.0,97.0,green
6.6,29.0,0.0,6.0,-98.0,green
7.2,24.0,8.0,7.0,-7.0,yellow
6.6,10.0,0.0,6.0,-98.0,green
7.4,39.0,0.0,6.0,74.0,green
7.6,22.0,0.0,7.0,121.0,green
6.6,135.0,6.0,5.0,-91.0,green
6.5,20.0,0.0,6.0,-118.0,green
7.1,60.0,0.0,7.0,8.0,green
7.7,22.0,8.0,9.0,33.0,yellow
6.5,24.0,7.0,7.0,-98.0,green
6.9,28.0,0.0,5.0,-36.0,green
8.2,25.0,9.0,8.0,52.0,yellow
6.7,20.0,7.0,7.0,-50.0,green
6.8,16.0,5.0,5.0,-69.0,green
6.5,119.0,4.0,5.0,-100.0,green
6.5,14.0,5.0,4.0,-87.0,green
6.9,10.0,3.0,8.0,-35.0,yellow
6.5,122.0,0.0,5.0,-118.0,green
6.5,44.0,0.0,3.0,-118.0,green
6.5,187.0,0.0,4.0,-118.0,green
6.5,371.0,3.0,4.0,-117.0,green
7.7,10.0,1.0,8.0,-112.0,green
6.9,9.0,0.0,5.0,-36.0,green
6.6,27.0,6.0,7.0,-45.0,green
7.1,35.0,6.0,4.0,104.0,green
6.6,9.0,8.0,5.0,-76.0,green
6.8,35.0,0.0,6.0,-57.0,green
7.1,19.0,9.0,8.0,68.0,orange
6.6,40.0,5.0,6.0,-77.0,yellow
6.7,573.0,0.0,3.0,-77.0,green
6.5,41.0,0.0,4.0,-118.0,green
6.8,12.0,7.0,7.0,-19.0,orange
7.1,40.0,8.0,7.0,75.0,green
7.7,15.0,5.0,8.0,-33.0,red
6.5,402.0,5.0,3.0,-29.0,green
6.5,112.0,4.0,5.0,-100.0,green
7.0,29.0,5.0,6.0,-10.0,green
6.5,8.0,9.0,7.0,-78.0,yellow
6.7,12.0,4.0,5.0,-53.0,green
6.5,17.0,6.0,7.0,-75.0,yellow
7.3,11.0,0.0,6.0,52.0,green
6.6,56.0,4.0,6.0,-94.0,green
7.3,385.0,0.0,4.0,52.0,green
6.6,10.0,0.0,7.0,-98.0,green
6.5,30.0,5.0,6.0,-89.0,green
6.7,9.0,5.0,4.0,-58.0,green
6.7,624.0,0.0,3.0,-77.0,green
8.3,598.0,5.0,5.0,91.0,green
7.4,173.0,0.0,6.0,74.0,green
6.8,602.0,0.0,3.0,-57.0,green
6.5,10.0,0.0,6.0,-118.0,green
6.6,14.0,8.0,8.0,35.0,red
7.2,110.0,5.0,7.0,36.0,green
6.6,13.0,7.0,7.0,-96.0,green
7.7,80.0,8.0,8.0,-115.0,yellow
6.6,31.0,0.0,5.0,-98.0,green
7.0,66.0,3.0,7.0,-13.0,green
6.5,28.0,0.0,6.0,-118.0,green
6.5,29.0,3.0,6.0,-117.0,green
6.9,41.0,5.0,6.0,-32.0,green
6.6,11.0,0.0,7.0,-98.0,green
6.6,18.0,0.0,6.0,-98.0,green
6.9,145.0,5.0,5.0,-120.0,green
7.1,21.0,9.0,6.0,12.0,green
6.8,12.0,0.0,7.0,-57.0,green
6.7,11.0,0.0,6.0,-77.0,green
7.0,8.0,0.0,6.0,-14.0,green
7.1,10.0,0.0,5.0,8.0,green
8.0,24.0,8.0,7.0,-31.0,green
6.9,107.0,6.0,7.0,46.0,yellow
6.8,45.0,6.0,7.0,3.0,green
7.4,24.0,8.0,7.0,-81.0,yellow
8.2,25.0,9.0,6.0,-67.0,green
8.6,20.0,9.0,7.0,0.0,yellow
7.2,9.0,9.0,9.0,94.0,red
7.02,32.0,8.0,7.0,62.0,orange
7.07,20.0,8.0,8.0,66.0,orange
7.3,14.0,8.0,7.0,23.0,orange
7.06,10.0,9.0,8.0,7.0,orange
6.77,11.0,7.0,7.0,-17.0,orange
6.98,23.0,8.0,7.0,-9.0,orange
7.36,10.0,9.0,9.0,1.0,orange
6.9,18.0,8.0,7.0,-9.0,orange
6.97,41.0,8.0,7.0,59.0,orange
7.17,79.0,8.0,7.0,-17.0,orange
8.02,20.0,9.0,8.0,-104.0,orange
6.75,32.0,7.0,7.0,-19.0,orange
6.72,44.0,7.0,7.0,-20.0,orange
8.22,21.0,8.0,8.0,-83.0,orange
7.26,18.0,8.0,7.0,29.0,orange
7.28,15.0,8.0,7.0,31.0,orange
7.19,14.0,8.0,8.0,-2.0,orange
6.84,11.0,9.0,8.0,12.0,orange
6.83,17.0,7.0,7.0,-7.0,orange
6.96,40.0,8.0,8.0,69.0,orange
7.68,14.0,9.0,8.0,10.0,orange
7.5,20.0,8.0,8.0,-47.0,orange
6.96,19.0,7.0,7.0,-11.0,orange
6.82,14.0,7.0,7.0,-18.0,orange
7.92,115.0,9.0,8.0,96.0,orange
6.79,12.0,9.0,8.0,17.0,orange
7.35,15.0,8.0,7.0,25.0,orange
6.78,46.0,8.0,7.0,-47.0,orange
7.0,20.0,8.0,7.0,-9.0,orange
6.69,10.0,8.0,8.0,-30.0,orange
6.57,12.0,8.0,7.0,-9.0,orange
6.9,33.0,8.0,8.0,-87.0,orange
6.92,19.0,7.0,7.0,-8.0,orange
6.91,16.0,7.0,7.0,-13.0,orange
7.19,13.0,8.0,8.0,-49.0,orange
6.77,24.0,8.0,8.0,-8.0,orange
7.14,14.0,8.0,7.0,25.0,orange
6.76,16.0,8.0,8.0,-48.0,orange
6.79,58.0,8.0,8.0,66.0,orange
7.46,15.0,8.0,7.0,21.0,orange
6.75,49.0,8.0,7.0,-37.0,orange
7.34,13.0,8.0,8.0,3.0,orange
6.71,11.0,9.0,8.0,16.0,orange
7.01,13.0,9.0,8.0,15.0,orange
7.12,13.0,9.0,8.0,14.0,orange
7.09,43.0,8.0,7.0,-2.0,orange
7.36,13.0,9.0,8.0,12.0,orange
6.68,39.0,8.0,8.0,52.0,orange
6.85,14.0,7.0,7.0,-16.0,orange
7.28,15.0,8.0,7.0,27.0,orange
7.6,15.0,8.0,8.0,16.0,orange
7.22,10.0,9.0,8.0,2.0,orange
6.78,29.0,8.0,8.0,57.0,orange
6.84,49.0,8.0,7.0,54.0,orange
6.7,12.0,7.0,7.0,-15.0,orange
6.77,16.0,8.0,7.0,-10.0,orange
7.04,37.0,8.0,7.0,-31.0,orange
7.73,105.0,8.0,8.0,88.0,orange
7.1,25.0,9.0,8.0,70.0,orange
